,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,Risk
7675,78525.0,UKC11_13070,UK,54.665739900738394,-1.1890897806705996,2,4711.87332099124,16390.55985284102
7676,78526.0,UKC11_13071,UK,54.66979090206512,-1.2062057190860418,3,7336.411848806224,25538.300831918066
7677,78527.0,UKC11_13072,UK,54.67184500559701,-1.203736817042036,3,9716.119933984928,33822.40672560496
7678,78528.0,UKC11_13073,UK,54.666994369698315,-1.1984488783692846,2,6604.361646724501,22990.149912066678
7679,78529.0,UKC11_13074,UK,54.667386868693036,-1.1903959660938002,2,6459.682183519564,22469.628088010897
7680,78530.0,UKC11_13075,UK,54.67325929785324,-1.2234538810858735,2,6929.5897298438595,24122.24628848159
7681,78531.0,UKC11_13076,UK,54.674405091919354,-1.2254070605907863,2,4871.619690905414,16957.533379527056
7682,78532.0,UKC11_13077,UK,54.67525791096196,-1.225534049920771,2,3424.3058485850897,11919.517689897153
7683,78533.0,UKC11_13078,UK,54.67341731759202,-1.2223732492085382,2,7604.504618712232,26470.879233083615
7684,78534.0,UKC11_13079,UK,54.672710363824976,-1.2212510557441056,2,2855.7252703190948,9940.030362423166
7685,78535.0,UKC11_13080,UK,54.67277487519214,-1.2205663111207212,2,3627.675504946325,12627.171332448255
7686,78536.0,UKC11_13081,UK,54.673202941346474,-1.2189552701771709,2,640.2131835406093,2228.3243527849863
7687,78537.0,UKC11_13082,UK,54.67551321820813,-1.222040502199924,2,518.6124113165506,1803.8930649068523
7688,78538.0,UKC11_13083,UK,54.67407086802294,-1.2200515929851292,2,5536.807376478143,19274.034215755575
7689,78539.0,UKC11_13084,UK,54.674165905535276,-1.2181394177254694,2,383.5601839867709,1333.864590248024
7690,78540.0,UKC11_13085,UK,54.67600110477368,-1.2257463486554414,2,2126.304068298431,7401.59380091727
7691,78541.0,UKC11_13086,UK,54.67562756473336,-1.2237252759058526,2,1561.4997188097643,5434.809865125822
7692,78542.0,UKC11_13087,UK,54.676606799695826,-1.2216939917008611,2,8053.58133491087,28034.143668370743
7693,78543.0,UKC11_13088,UK,54.672558853703286,-1.213662016610214,2,654.1820332435109,2276.1488861780913
7694,78544.0,UKC11_13089,UK,54.67357368793826,-1.2171164622423551,2,2686.125098241037,9349.696278352028
7695,78545.0,UKC11_13090,UK,54.67418877240202,-1.2161145029951514,2,823.6830116816965,2866.4829702492298
7696,78546.0,UKC11_13091,UK,54.674553917107325,-1.2166167957572078,2,13377.891425548054,46568.39213320172
7697,78547.0,UKC11_13092,UK,54.67413282209497,-1.215045970813352,2,2955.145463514748,10286.01097118891
7698,78548.0,UKC11_13093,UK,54.67434061799501,-1.2144782505569505,2,2977.628567984254,10364.473096286965
7699,78549.0,UKC11_13094,UK,54.67316209835512,-1.2133357445535442,2,813.6447408091908,2831.36182853867
7700,78550.0,UKC11_13095,UK,54.6727000995461,-1.2128612503042244,2,707.744499510083,2462.2318346595193
7701,78551.0,UKC11_13096,UK,54.67273657910409,-1.2124850495340291,2,761.9111110058185,2652.0366559048944
7702,78552.0,UKC11_13097,UK,54.674962244806615,-1.2133665560025453,2,8794.880985880474,30614.426696595612
7703,78553.0,UKC11_13098,UK,54.674592317928116,-1.2124268888326202,2,5123.2713291789005,17834.06740562255
7704,78554.0,UKC11_13099,UK,54.67499284463579,-1.2118381363833626,2,2958.886051938027,10299.461621205723
7705,78555.0,UKC11_13100,UK,54.675040517150485,-1.2095174551421692,3,3915.650701630632,13629.244758700654
7706,78556.0,UKC11_13101,UK,54.675617910531464,-1.2171768155248075,2,429.22463075475787,1493.7788884626325
7707,78557.0,UKC11_13102,UK,54.67779444641142,-1.214461097825356,2,5224.02887411757,18184.53156439391
7708,78558.0,UKC11_13103,UK,54.67622197502374,-1.2137391338391579,2,10312.715687729831,35899.0376365337
7709,78559.0,UKC11_13104,UK,54.676848236095,-1.2095173760783158,3,19687.55109800146,68534.05086898796
7710,78560.0,UKC11_13105,UK,54.67854231125574,-1.2251346270147618,2,2707.1520747432564,9422.927595110225
7711,78561.0,UKC11_13106,UK,54.678239525734355,-1.223774509601721,2,1728.311010787878,6016.1768491857565
7712,78562.0,UKC11_13107,UK,54.678143549120435,-1.2229919627590624,2,1241.3142800863552,4319.9004303990605
7713,78563.0,UKC11_13108,UK,54.67859797936986,-1.2225237421403583,1,263.2962958617628,915.3972678172712
7714,78564.0,UKC11_13109,UK,54.67866442194436,-1.2222649005855182,1,1108.1661196720634,3856.6002631533574
7715,78565.0,UKC11_13110,UK,54.67844221266635,-1.2206693325958708,2,592.589284821998,2061.6857442433848
7716,78566.0,UKC11_13111,UK,54.678558272427864,-1.2198599768107763,1,434.45461450137816,1511.7132022810933
7717,78567.0,UKC11_13112,UK,54.68018676860615,-1.2195228370942015,1,7329.76438587155,25515.13582355579
7718,78568.0,UKC11_13113,UK,54.681632243745824,-1.2216121986935595,2,8982.146053034205,31266.783222410926
7719,78569.0,UKC11_13114,UK,54.68172688786485,-1.2207500055237537,1,2266.088213747561,7887.31171819099
7720,78570.0,UKC11_13115,UK,54.681307479690076,-1.2198613527612363,1,1207.5977097282698,4202.580871919101
7721,78571.0,UKC11_13116,UK,54.68268627802378,-1.222084848330666,2,7897.556347887209,27491.634117692713
7722,78572.0,UKC11_13117,UK,54.68334720257875,-1.2222096029147949,2,8796.211583232427,30619.657504935472
7723,78573.0,UKC11_13118,UK,54.679138364230354,-1.2167246074275586,1,1833.1993489566792,6380.838916308178
7724,78574.0,UKC11_13119,UK,54.680396343921025,-1.2154193136113034,1,1486.0907784161634,5171.774931463746
7725,78575.0,UKC11_13120,UK,54.68119382289418,-1.2158781934262497,1,1017.0213550982534,3539.0154710897696
7726,78576.0,UKC11_13121,UK,54.68033379994794,-1.2147654255439675,1,1860.011360604669,6474.2462080915875
7727,78577.0,UKC11_13122,UK,54.67859154111471,-1.2130387609966058,2,3266.8830001974065,11371.777330879248
7728,78578.0,UKC11_13123,UK,54.68281762453053,-1.218588814651759,1,543.5705713465875,1891.3228447718482
7729,78579.0,UKC11_13124,UK,54.68299656018321,-1.2186506189625663,1,770.6176225090887,2681.910161685217
7730,78580.0,UKC11_13125,UK,54.68331394923956,-1.2160563746955588,1,4516.73193247551,15722.315352983265
7731,78581.0,UKC11_13126,UK,54.68374445154743,-1.210045842319894,3,9599.725139539,33416.64545009785
7732,78582.0,UKC11_13127,UK,54.6730395849819,-1.208495928484061,3,2284.775704322536,7953.070451606508
7733,78583.0,UKC11_13128,UK,54.674932932633546,-1.206309191854731,3,12130.09014206832,42226.07395277465
7734,78584.0,UKC11_13129,UK,54.6752477423987,-1.2040082671255312,3,15515.611307267593,54011.83240083792
7735,78585.0,UKC11_13130,UK,54.67608584326325,-1.2084338702663402,3,3423.233172734705,11915.781398225814
7736,78586.0,UKC11_13131,UK,54.67664732878973,-1.2054652024116341,3,40489.94583370035,140950.10878449443
7737,78587.0,UKC11_13132,UK,54.67667359290583,-1.2018287959940057,3,2944.6562913898506,10250.142571144079
7738,78588.0,UKC11_13133,UK,54.68090704227139,-1.2078409790087106,3,1541.0625275068032,5363.8203233704335
7739,78589.0,UKC11_13134,UK,54.68104563596643,-1.208553081898276,3,721.0315786164882,2508.54622813521
7740,78590.0,UKC11_13135,UK,54.67983718027168,-1.2053823335485394,3,11956.519464125944,41621.54196035242
7741,78591.0,UKC11_13136,UK,54.68017565181545,-1.2033746804348775,3,7322.336950085582,25488.981781856433
